Fecha,Símbolo,Registros_descargados,Registros_agregados,Total_en_archivo
2025-05-09 00:45:03,AVAL,2673,2673,2673
2025-05-09 00:45:03,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 01:42:44,AVAL,2673,0,2674
2025-05-09 01:42:44,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 01:44:04,AVAL,2673,0,2674
2025-05-09 01:44:04,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 01:52:38,AVAL,2673,0,2674
2025-05-09 01:52:38,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 01:54:56,AVAL,2673,0,2674
2025-05-09 01:54:56,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 01:58:40,AVAL,2673,2673,2673
2025-05-09 01:58:40,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 02:03:44,AVAL,2673,2673,2673
2025-05-09 02:03:44,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 02:26:09,AVAL,2673,0,2674
2025-05-09 02:26:09,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 02:37:36,AVAL,2673,2673,2673
2025-05-09 02:37:36,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 02:39:42,AVAL,2673,0,2674
2025-05-09 02:39:42,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 02:55:13,AVAL,2673,2673,2673
2025-05-09 02:55:13,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 02:57:41,AVAL,2673,0,2673
2025-05-09 02:57:41,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 03:24:03,AVAL,2673,0,2673
2025-05-09 03:24:03,AVAL,2673,Ver arriba,Ver arriba,Éxito
2025-05-09 05:01:49,AVAL,2673,0,2673,Éxito
